date,customer_id,payment_method,delivery_status,duration,no_of_orders,amount
04/26/2022,709b9978,Cash,Pickup,,0,2700
04/26/2022,6e5ccd8c,Cash,Pickup,,0,2700
04/26/2022,3c40e860,Transfer,Delivered,66,0,4650
04/26/2022,c33ce436,Cash,Delivered,33,0,2450
04/26/2022,310d98f5,Cash,Delivered,41,0,2700
04/26/2022,ca2e4df3,Cash,Delivered,69,0,2200
04/26/2022,2cad7c3f,Cash,Delivered,16,0,5300
04/26/2022,9a58394e,Cash,Delivered,41,0,5150
04/26/2022,4d7e3105,Cash,Delivered,40,0,3550
04/26/2022,b0297e6d,Cash,Delivered,123,0,5400
04/26/2022,96f73e5c,Cash,Delivered,29,0,1900
04/26/2022,ba95f393,Cash,Pickup,,0,7350
04/26/2022,4ea6b28f,Cash,Pickup,,1,1000
04/26/2022,427d53d5,Cash,Delivered,73,1,4800
04/26/2022,8bdc70c2,Cash,Pickup,,1,1000
04/26/2022,c65c7763,Cash,Pickup,,0,2450
04/26/2022,f91c88c4,Cash,Delivered,92,0,4400
04/26/2022,5f31e737,Cash,Delivered,63,0,5400
04/26/2022,f5134318,Cash,Delivered,43,0,1900
04/26/2022,7a8b093e,Cash,Delivered,107,0,2450
04/26/2022,8f4bc2e4,Cash,Pickup,,0,1000
04/26/2022,a93f7161,Cash,Delivered,62,0,2700
04/26/2022,e5946275,Cash,Pickup,,0,1100
04/26/2022,b6b4120b,Cash,Pickup,,0,4700
04/26/2022,280a2ca5,Transfer,Delivered,86,0,1100
04/26/2022,f9d858f7,Cash,Delivered,101,0,5400
04/26/2022,a5771adc,Transfer,Delivered,178,0,2700
04/26/2022,23ab7484,Transfer,Delivered,67,0,1100
04/26/2022,3e44f6d4,Cash,Delivered,102,0,3000
04/26/2022,47384dd6,Transfer,Delivered,129,0,2700
04/26/2022,24010808,Transfer,Delivered,94,0,1900
04/26/2022,c8daf174,Cash,Delivered,122,0,2600
04/26/2022,ec8aefbd,Cash,Delivered,151,0,1900
04/26/2022,a68a75c3,Cash,Delivered,114,0,2700
04/26/2022,6ccb54e9,Cash,Delivered,144,0,3000
04/26/2022,bd0e9a97,Transfer,Delivered,67,0,21300
04/26/2022,1d754a8f,Cash,Pickup,,0,2700
04/26/2022,6eb8a91a,Cash,Pickup,,0,2200
04/26/2022,b71f8c68,Cash,Pickup,,0,1100
04/26/2022,43ab59b7,Cash,Pickup,,0,1100
04/27/2022,5830faa4,Transfer,Delivered,200,0,32100
04/27/2022,aa35bfbc,Cash,Delivered,259,0,5300
04/27/2022,a8edfa1e,Transfer,Delivered,294,0,23600
04/27/2022,1381837e,Cash,Delivered,218,1,2900
04/27/2022,b6aa9865,Transfer,Delivered,254,1,3700
04/27/2022,f614eb9f,Transfer,Delivered,179,0,4600
04/27/2022,70ff9b02,Cash,Delivered,326,0,5400
04/27/2022,38ad7be2,Cash,Delivered,243,0,2450
04/27/2022,011edd31,Cash,Delivered,154,0,2700
04/27/2022,a50028a1,Transfer,Delivered,124,0,2600
04/27/2022,6e459df1,Cash,Pickup,,1,1000
04/27/2022,ff386b8d,Cash,Pickup,,0,2450
04/27/2022,e111a8bd,Cash,Delivered,188,0,3800
04/27/2022,7cdfb58e,Transfer,Pickup,,0,1900
04/27/2022,34687319,Cash,Pickup,,0,2200
04/27/2022,986b0459,Cash,Pickup,,0,1000
04/27/2022,9bed9c72,Cash,Pickup,,0,4350
04/27/2022,ae44a33b,Cash,Pickup,,0,3800
04/27/2022,dff86ddd,Transfer,Delivered,197,0,3500
04/27/2022,b90454b2,Cash,Delivered,142,0,2700
04/27/2022,cbce4211,Cash,Delivered,192,0,2900
04/27/2022,b4e86f71,Cash,Pickup,,0,1100
04/27/2022,d6e1f4d1,Cash,Delivered,209,0,3600
04/27/2022,42c6acef,Cash,Delivered,,0,1900
04/27/2022,1b36c482,Transfer,Delivered,,0,5200
04/27/2022,a8d3b23e,Transfer,Delivered,,0,1900
04/27/2022,4407420f,Transfer,Delivered,133,0,2900
04/27/2022,280c939a,Transfer,Delivered,43,0,1200
04/27/2022,1eb73952,Cash,Delivered,28,0,4500
04/27/2022,27fdda23,Transfer,Pickup,,0,3800
04/27/2022,d721b388,Cash,Delivered,127,0,4800
04/27/2022,1c57caa7,Cash,Delivered,10,0,1900
04/27/2022,05c277f5,Transfer,Pickup,,0,5750
04/27/2022,6877f886,Transfer,Pickup,,0,2600
04/27/2022,944cac8d,Cash,Pickup,,0,3000
04/27/2022,510c6209,Cash,Pickup,,1,750
04/27/2022,02368204,Cash,Pickup,,0,1100
04/28/2022,33749ebb,Cash,Delivered,12,0,2600
04/28/2022,c8dc04b6,Cash,Delivered,306,0,10400
04/28/2022,71c9df38,Cash,Delivered,61,0,2600
04/28/2022,f4597e22,Cash,Pickup,,0,2200
04/28/2022,81bec969,Cash,Pickup,,0,1000
04/28/2022,8d6009bb,Transfer,Delivered,137,0,3800
04/28/2022,50146e1b,Cash,Delivered,77,0,2450
04/28/2022,1f4d3d5a,Cash,Delivered,139,0,7900
04/28/2022,3271de7e,Transfer,Delivered,134,1,7150
04/28/2022,96f90f12,Transfer,Delivered,68,0,5400
04/28/2022,32402848,Cash,Delivered,52,0,2700
04/28/2022,683b5628,Cash,Pickup,,0,1100
04/28/2022,dd04b867,Transfer,Delivered,107,0,2700
04/28/2022,7c5c8fe9,Cash,Delivered,96,0,2450
04/28/2022,85d06928,Cash,Pickup,,0,1900
04/28/2022,e8bbcb2f,Cash,Delivered,33,0,1900
04/28/2022,0ff9c321,Cash,Pickup,,0,6100
04/28/2022,fd2ddd19,Cash,Pickup,,0,2450
04/28/2022,c9bd30a3,Cash,Pickup,,0,1000
04/28/2022,6b384488,Cash,Delivered,42,0,1900
04/28/2022,65c62919,Cash,Delivered,58,1,750
04/28/2022,4c8c6025,Transfer,Delivered,58,1,750
04/28/2022,e15099ce,Cash,Delivered,147,0,3000
04/28/2022,be4dd90b,Cash,Delivered,156,0,10800
04/28/2022,b9c20ebe,Cash,Delivered,198,0,2200
04/28/2022,d9f96a8b,Cash,Delivered,176,0,2450
04/28/2022,a48e5e11,Transfer,Delivered,135,0,3700
04/28/2022,aa6f6516,Cash,Delivered,122,0,2600
04/28/2022,6f33df74,Cash,Pickup,,0,3000
04/28/2022,95f795d8,Cash,Pickup,,1,1000
04/28/2022,6f576a98,Cash,Delivered,67,0,5400
04/28/2022,bb4a73b8,Cash,Delivered,179,0,1000
04/28/2022,2cc8aaea,Transfer,Delivered,24,0,4500
04/28/2022,3a05b5a0,Cash,Delivered,93,1,2000
04/28/2022,a4bb83d3,Cash,Pickup,,0,1100
04/28/2022,fcb0b806,Cash,Pickup,,1,750
04/28/2022,a70b8ff6,Transfer,Delivered,133,0,3550
04/28/2022,add7560f,Cash,Cancelled,,0,2900
04/28/2022,982afa48,Transfer,Delivered,128,0,2700
04/28/2022,41081578,Cash,Pickup,,1,1350
04/28/2022,14ae3a34,Cash,Pickup,,0,1900
04/28/2022,3deccef0,Transfer,Pickup,,0,4800
04/29/2022,127a7022,Transfer,Delivered,168,0,1100
04/29/2022,858335ef,Cash,Delivered,92,0,5300
04/29/2022,afb46eab,Cash,Delivered,144,0,3000
04/29/2022,f9ece0d7,Transfer,Delivered,116,0,3700
04/29/2022,b4eaac30,Transfer,Delivered,,2,24650
04/29/2022,8ea4b66d,Cash,Delivered,61,0,1700
04/29/2022,36d4a75a,Cash,Delivered,211,0,13200
04/29/2022,3b61e8e5,Cash,Delivered,123,0,7500
04/29/2022,d0a67ecf,Cash,Delivered,75,0,8100
04/29/2022,e5cedc1c,Transfer,Delivered,,0,1900
04/29/2022,ba9fc0b9,Transfer,Delivered,59,0,2700
04/29/2022,07bc9f6f,Cash,Delivered,66,0,23850
04/29/2022,e568b73b,Transfer,Delivered,83,0,2900
04/29/2022,f6e1de38,Cash,Pickup,,0,3000
04/29/2022,2241b515,Cash,Delivered,124,0,3900
04/29/2022,babe68d5,Cash,Pickup,,1,1000
04/29/2022,de3c26fb,Cash,Pickup,,1,5300
04/29/2022,2b2abebd,Cash,Pickup,,0,2450
04/29/2022,bbed6a87,Cash,Pickup,,2,4000
04/29/2022,28ad3648,Cash,Delivered,58,0,3800
04/29/2022,4f87b6e4,Cash,Delivered,105,1,2900
04/29/2022,8524b1f9,Transfer,Pickup,,0,2600
04/29/2022,dd458eab,Transfer,Delivered,114,1,4100
04/29/2022,31f2f63e,Transfer,Pickup,,0,2200
04/29/2022,6dd88bf2,Transfer,Delivered,120,1,4800
04/29/2022,6ecf17e2,Cash,Pickup,,0,1900
04/29/2022,10548214,Cash,Delivered,48,1,2900
04/29/2022,940a940b,Cash,Pickup,,0,1900
04/29/2022,311c3b34,Cash,Pickup,,0,1900
